Date,usd_krw_usd_krw_Open,usd_krw_usd_krw_High,usd_krw_usd_krw_Low,usd_krw_usd_krw_Close,usd_krw_usd_krw_Adj Close,usd_krw_usd_krw_Volume,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap
2007-02-06,925.109985,931.0,916.130005,916.77002,916.77002,0.0,1416.65,1428.91,1414.58,1428.58,188881729,0.0075,1,10.63,2954600630371,701659781272425
2007-02-07,916.549988,931.650024,916.309998,918.909973,918.909973,0.0,1430.85,1431.25,1419.48,1426.29,193224740,-0.0016,2,-2.29,2958774054383,700475045509725
2007-02-08,918.77002,933.099976,918.72998,920.299988,920.299988,0.0,1424.99,1431.01,1416.05,1423.58,189043295,-0.0019,2,-2.71,2855871162732,699033834515025
2007-02-09,920.22998,932.599976,919.73999,922.179993,922.179993,0.0,1424.49,1432.29,1422.97,1427.68,227566758,0.0029,1,4.1,2741316496597,701071756051215
2007-02-12,891.109985,935.700012,891.080017,926.22998,926.22998,0.0,1416.84,1416.84,1403.75,1414.29,209291054,-0.009399999999999999,2,-13.39,2819813100155,694373960542545
2007-02-13,926.159973,937.599976,924.280029,927.400024,927.400024,0.0,1412.72,1424.66,1410.81,1418.44,219251210,0.0029,1,4.15,2919644980465,696199130071075
2007-02-14,927.330017,936.5,924.72998,927.080017,927.080017,0.0,1430.02,1440.51,1430.01,1436.1,214653096,0.0125,1,17.66,3580135000374,704870583939695
2007-02-15,927.049988,932.799988,892.669983,922.599976,922.599976,0.0,1450.55,1450.84,1441.79,1443.63,216082577,0.0052,1,7.53,3503460982111,708698736588290
2007-02-16,922.580017,934.5,921.880005,924.929993,924.929993,0.0,1444.46,1448.96,1439.03,1448.81,207157026,0.0036,1,5.18,3634847578713,711717548920485
2007-02-20,924.309998,936.549988,895.469971,896.01001,896.01001,0.0,1450.96,1453.25,1443.97,1452.96,220471063,0.0029,1,4.15,2529606496325,714119794282690
2007-02-21,896.109985,936.599976,895.869995,927.690002,927.690002,0.0,1455.18,1457.37,1444.84,1451.38,258240208,-0.0011,2,-1.58,3206897019595,713416464210490
2007-02-22,927.580017,936.950012,894.320007,894.659973,894.659973,0.0,1452.71,1471.04,1452.62,1465.41,310280835,0.0097,1,14.03,3683842777709,720008691455915
2007-02-23,894.659973,936.099976,894.460022,927.280029,927.280029,0.0,1470.44,1471.04,1459.81,1469.88,310566811,0.0031,1,4.47,5268529137544,721914551718540
2007-02-26,926.299988,936.799988,924.929993,925.0,925.0,0.0,1466.92,1470.95,1462.19,1470.03,261756516,0.0001,1,0.15,3341189358512,721758562684095
2007-02-27,924.890015,936.950012,924.539978,927.549988,927.549988,0.0,1468.28,1468.28,1453.85,1454.6,261582799,-0.0105,2,-15.43,3138989517872,714194293567835
2007-02-28,927.72998,939.799988,897.150024,928.599976,928.599976,0.0,1396.44,1417.34,1393.96,1417.34,324108806,-0.0256,2,-37.26,4443881228513,696039726469315
2007-03-02,903.559998,941.099976,901.440002,903.969971,903.969971,0.0,1407.19,1423.58,1406.63,1414.47,243110207,-0.002,2,-2.87,3511214471975,694912497812895
2007-03-05,931.159973,949.5,903.219971,909.890015,909.890015,0.0,1400.8,1404.23,1375.84,1376.15,232595060,-0.0271,2,-38.32,3278013583312,676185601108445
2007-03-06,910.059998,945.700012,907.909973,933.539978,933.539978,0.0,1382.7,1403.75,1382.7,1402.93,239219132,0.0195,1,26.78,3009734597285,689373788433675
2007-03-07,933.469971,947.25,933.27002,933.640015,933.640015,0.0,1415.35,1415.5,1397.83,1410.95,254195373,0.005699999999999999,1,8.02,3203548882889,693143968573295
2007-03-08,933.710022,945.900024,933.369995,934.630005,934.630005,0.0,1409.02,1433.15,1408.34,1423.89,285796903,0.0092,1,12.94,3363209618305,699407615304670
2007-03-09,934.880005,944.299988,933.349976,934.72998,934.72998,0.0,1433.27,1434.7,1415.71,1423.58,227388065,-0.0002,2,-0.31,3111534779306,699295957396010
2007-03-12,934.02002,942.0,929.140015,932.02002,932.02002,0.0,1429.68,1441.83,1429.68,1441.33,245053593,0.0125,1,17.75,2968500148630,708246479347385
2007-03-13,932.22998,942.650024,930.070007,932.289978,932.289978,0.0,1441.6,1442.04,1433.67,1436.05,256424662,-0.0037,2,-5.28,2924575216390,705517280534365
2007-03-14,932.179993,944.299988,931.330017,935.76001,935.76001,0.0,1409.66,1416.8,1405.13,1407.37,259289351,-0.02,2,-28.68,3030643703079,691470338486685
2007-03-15,935.619995,942.599976,901.359985,929.0,929.0,0.0,1418.77,1429.38,1414.98,1426.93,254363693,0.0139,1,19.56,2743097503171,700877506566925
2007-03-16,929.039978,942.799988,927.049988,933.650024,933.650024,0.0,1428.63,1431.75,1416.3,1427.88,304139430,0.0007000000000000001,1,0.95,2543200444420,701347255560380
2007-03-19,904.049988,941.700012,903.780029,931.929993,931.929993,0.0,1425.22,1444.76,1420.89,1443.39,280843133,0.0109,1,15.51,2846251480150,708728657580245
2007-03-20,931.76001,939.700012,926.780029,927.27002,927.27002,0.0,1449.43,1449.79,1440.42,1444.17,364484602,0.0005,1,0.78,3390627696207,709234373483435
2007-03-21,927.530029,936.049988,919.859985,920.47998,920.47998,0.0,1446.07,1452.05,1435.36,1442.85,342963746,-0.0009,2,-1.32,3000184938537,708437627461235
2007-03-22,920.369995,936.049988,920.369995,929.309998,929.309998,0.0,1452.13,1456.18,1447.79,1448.53,301021371,0.0039000000000000003,1,5.68,3635006604262,711570841522885
2007-03-23,929.380005,935.549988,924.299988,927.409973,927.409973,0.0,1449.99,1454.34,1443.04,1447.38,278884134,-0.0008,2,-1.15,2950808575090,710935642909695
2007-03-26,903.650024,936.950012,902.840027,926.830017,926.830017,0.0,1451.12,1455.51,1444.25,1449.77,312613484,0.0017000000000000001,1,2.39,3118567414370,712138505760230
2007-03-27,927.0,938.950012,926.47998,927.0,927.0,0.0,1450.02,1456.39,1442.49,1453.23,259867475,0.0024,1,3.46,3118253837316,713729148626900
2007-03-28,927.140015,937.549988,926.469971,930.400024,930.400024,0.0,1451.47,1456.78,1433.12,1439.74,297972641,-0.009300000000000001,2,-13.49,3575503087180,707279680299745
2007-03-29,930.400024,938.849976,927.309998,928.52002,928.52002,0.0,1434.58,1453.11,1432.8,1450.95,283080614,0.0078000000000000005,1,11.21,3496141686387,712772672380850
2007-03-30,928.419983,938.900024,926.01001,932.359985,932.359985,0.0,1457.58,1459.69,1447.85,1452.55,288432743,0.0011,1,1.6,3313319218527,713293315991630
2007-04-02,932.429993,936.150024,924.960022,925.609985,925.609985,0.0,1456.19,1464.93,1456.06,1459.53,303521993,0.0048,1,6.98,3546507324120,716950422165570
2007-04-03,925.609985,935.049988,925.0,928.98999,928.98999,0.0,1463.41,1464.48,1452.56,1463.75,340652446,0.0029,1,4.22,3757241046928,719128014790945
2007-04-04,928.789978,934.349976,922.409973,922.710022,922.710022,0.0,1474.65,1484.86,1471.05,1483.41,353988730,0.0134,1,19.66,4640824203850,729011043033240
2007-04-05,922.849976,931.849976,918.580017,921.52002,921.52002,0.0,1485.53,1485.77,1478.45,1482.04,328412757,-0.0009,2,-1.37,3255580747135,728556457414055
2007-04-06,921.47998,925.969971,921.47998,923.580017,923.580017,0.0,1487.73,1488.58,1477.69,1484.15,313663496,0.0014000000000000002,1,2.11,3389507171390,729325974547465
2007-04-09,925.52002,927.530029,925.070007,926.72998,926.72998,0.0,1489.79,1501.06,1489.13,1501.06,388207634,0.011399999999999999,1,16.91,4186551050391,737708800492635
2007-04-10,926.76001,932.25,920.719971,922.289978,922.289978,0.0,1500.79,1502.34,1492.35,1499.16,359301407,-0.0013,2,-1.9,4059585296825,736872218013665
2007-04-11,922.330017,931.5,921.01001,921.039978,921.039978,0.0,1508.68,1519.31,1507.57,1513.42,386765410,0.0095,1,14.26,5266418416343,744151748372430
2007-04-12,921.080017,929.799988,918.349976,918.859985,918.859985,0.0,1510.27,1525.61,1507.56,1525.61,360181780,0.008100000000000001,1,12.19,4615175528066,749803339266975
2007-04-13,918.789978,928.25,916.210022,918.26001,918.26001,0.0,1523.82,1526.09,1512.36,1520.78,426238418,-0.0032,2,-4.83,4532484802549,747363935295025
2007-04-16,914.369995,929.799988,885.799988,921.679993,921.679993,0.0,1523.89,1533.09,1519.3,1532.04,462199365,0.0074,1,11.26,4198011593917,752957414154390
2007-04-17,921.630005,928.799988,916.359985,919.679993,919.679993,0.0,1538.89,1538.89,1524.33,1528.66,422556229,-0.0022,2,-3.38,4524206505654,751297907911355
2007-04-18,919.719971,927.349976,888.099976,916.070007,916.070007,0.0,1532.57,1538.29,1530.02,1534.58,352532012,0.0039000000000000003,1,5.92,4264478618866,754073254239580
2007-04-19,915.900024,928.440002,915.530029,926.26001,926.26001,0.0,1536.89,1537.43,1506.14,1513.66,363738739,-0.013600000000000001,2,-20.92,4478336155225,743682552354245
2007-04-20,926.26001,927.409973,925.450012,927.299988,927.299988,0.0,1518.58,1533.09,1518.58,1533.08,397530644,0.0128,1,19.42,4404627614836,753050263830060
2007-04-23,926.179993,927.440002,923.75,925.01001,925.01001,0.0,1545.45,1554.5,1538.33,1544.35,386979688,0.0074,1,11.27,4914075875182,758438944819180
2007-04-24,925.01001,927.22998,924.349976,925.169983,925.169983,0.0,1545.61,1557.65,1538.11,1556.71,393475474,0.008,1,12.36,5455456875122,764289739404210
2007-04-25,925.169983,926.280029,924.549988,926.140015,926.140015,0.0,1558.2,1558.72,1536.12,1545.55,445538397,-0.0072,2,-11.16,6627838713955,758742949259510
2007-04-26,926.210022,928.5,925.200012,927.630005,927.630005,0.0,1560.22,1565.03,1553.13,1553.13,391552128,0.0049,1,7.58,5263926342646,762724512370085
2007-04-27,927.48999,928.650024,925.619995,926.159973,926.159973,0.0,1547.2,1553.23,1537.37,1542.52,356441710,-0.0068000000000000005,2,-10.61,4571708791650,757414198438605
2007-04-30,888.76001,931.169983,888.01001,930.549988,930.549988,0.0,1538.69,1542.25,1530.67,1542.24,315970649,-0.0002,2,-0.28,3965713193618,757287335269145
2007-05-02,891.52002,930.109985,891.159973,929.830017,929.830017,0.0,1550.39,1555.62,1546.6,1553.3,274336009,0.0072,1,11.06,3733029175554,762668416466785
2007-05-03,929.830017,929.900024,924.900024,926.609985,926.609985,0.0,1563.42,1564.01,1555.28,1559.86,249677934,0.0042,1,6.56,3753858331128,766002455896750
2007-05-04,926.75,927.950012,925.450012,926.669983,926.669983,0.0,1563.16,1567.74,1556.62,1567.74,254508338,0.0051,1,7.88,3935182759488,769854283646020
2007-05-07,925.98999,926.359985,920.400024,922.469971,922.469971,0.0,1574.86,1585.7,1574.86,1584.46,434480275,0.010700000000000001,1,16.72,5046214983238,778164481658170
2007-05-08,922.539978,922.73999,920.719971,921.299988,921.299988,0.0,1585.52,1589.07,1577.18,1582.65,384029217,-0.0011,2,-1.81,5264052129615,777296752303575
2007-05-09,921.280029,924.450012,920.679993,924.219971,924.219971,0.0,1582.91,1593.42,1578.58,1593.42,358531444,0.0068000000000000005,1,10.77,4351880379249,782537488566700
2007-05-10,924.289978,926.919983,922.950012,926.059998,926.059998,0.0,1602.56,1616.06,1599.68,1599.68,408579170,0.0039000000000000003,1,6.26,5542590227050,785464010663680
2007-05-11,926.169983,927.200012,924.5,925.679993,925.679993,0.0,1588.09,1604.63,1582.76,1603.56,373583615,0.0024,1,3.88,4791159284011,787338164260060
2007-05-14,924.75,924.75,921.950012,923.409973,923.409973,0.0,1612.73,1622.16,1599.87,1605.77,477817485,0.0014000000000000002,1,2.21,5108484225386,788460881290660
2007-05-15,923.380005,924.169983,884.25,923.76001,923.76001,0.0,1600.91,1611.93,1589.24,1589.37,480250856,-0.0102,2,-16.4,4655422238973,780588919771070
2007-05-16,923.859985,924.099976,921.650024,922.969971,922.969971,0.0,1591.07,1600.72,1586.0,1600.6,417084368,0.0070999999999999995,1,11.23,4448253660715,786362935496690
2007-05-17,922.940002,925.799988,890.289978,890.419983,890.419983,0.0,1614.0,1616.0,1608.21,1615.58,450568722,0.009399999999999999,1,14.98,4737708552379,793737050718890
2007-05-18,890.419983,933.320007,890.25,932.75,932.75,0.0,1613.12,1617.77,1600.24,1612.25,454777486,-0.0021,2,-3.33,4477906051240,792089358944465
2007-05-21,932.059998,932.619995,927.869995,928.349976,928.349976,0.0,1602.64,1628.68,1602.64,1628.2,512785579,0.009899999999999999,1,15.95,5238884686578,799849009351235
